"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2018 in 1000 USD ","2019 in 1000 USD ","2020 in 1000 USD ","2021 in 1000 USD ","2022 in 1000 USD ","2023 in 1000 USD "
"H5","AGO"," Total","Angola","ABW","Aruba","Import",5,,10.898,,,,
"H5","AGO"," Total","Angola","AFG","Afghanistan","Export",6,19.353,,,,,
"H5","AGO"," Total","Angola","AFG","Afghanistan","Import",5,117.812,2.392,1.485,79.726,43.963,
"H5","AGO"," Total","Angola","AGO","Angola","Import",5,,,0,0,0,
"H5","AGO"," Total","Angola","AIA","Anguila","Import",5,,,,0.001,,
"H5","AGO"," Total","Angola","ALB","Albania","Export",6,2.38,48.916,,,65.315,
"H5","AGO"," Total","Angola","ALB","Albania","Import",5,55.666,65.876,477.369,212.508,253.99,
"H5","AGO"," Total","Angola","AND","Andorra","Export",6,0.326,0.041,232.189,146.207,,
"H5","AGO"," Total","Angola","AND","Andorra","Import",5,123.18,272.608,67.439,19.929,213.713,
"H5","AGO"," Total","Angola","ARE","United Arab Emirates","Export",6,859227.736,1129399.037,943674.124,1392782.008,1566483.689,
"H5","AGO"," Total","Angola","ARE","United Arab Emirates","Import",5,407629.981,389141.665,202189.78,311484.092,668297.533,
"H5","AGO"," Total","Angola","ARG","Argentina","Export",6,61.362,381.917,81.176,0.502,9.371,
"H5","AGO"," Total","Angola","ARG","Argentina","Import",5,52468.905,56487.49,51308.044,121188.255,196474.896,
"H5","AGO"," Total","Angola","ARM","Armenia","Export",6,35.532,,,,,
"H5","AGO"," Total","Angola","ARM","Armenia","Import",5,,0.777,,,6.034,
"H5","AGO"," Total","Angola","ASM","American Samoa","Export",6,12.007,,,,,
"H5","AGO"," Total","Angola","ASM","American Samoa","Import",5,,,0.57,57.738,0.004,
"H5","AGO"," Total","Angola","ATA","Antarctica","Import",5,0.219,0.041,,,0.31,
"H5","AGO"," Total","Angola","ATG","Antigua and Barbuda","Export",6,29.579,15.223,22.69,7.101,3.296,
"H5","AGO"," Total","Angola","ATG","Antigua and Barbuda","Import",5,426.336,1405.142,165.229,47.121,46.492,
"H5","AGO"," Total","Angola","AUS","Australia","Export",6,40220.092,622.696,76.199,57958.104,64.875,
"H5","AGO"," Total","Angola","AUS","Australia","Import",5,5889.488,5651.486,6129.087,3510.55,10201.893,
"H5","AGO"," Total","Angola","AUT","Austria","Export",6,433.699,90.108,29.215,5.946,15.515,
"H5","AGO"," Total","Angola","AUT","Austria","Import",5,18242.418,2421.202,9395.934,3991.994,5333.157,
"H5","AGO"," Total","Angola","AZE","Azerbaijan","Export",6,600.371,398.86,2.5,4.714,59.791,
"H5","AGO"," Total","Angola","AZE","Azerbaijan","Import",5,146.239,306.91,123.119,215.81,262.972,
"H5","AGO"," Total","Angola","BDI","Burundi","Import",5,27.382,10.457,,1.851,2.164,
"H5","AGO"," Total","Angola","BEL","Belgium","Export",6,63360.919,190598.924,161445.319,198085.52,500522.835,
"H5","AGO"," Total","Angola","BEL","Belgium","Import",5,1047074.123,915065.258,402215.546,389033.228,810895.022,
"H5","AGO"," Total","Angola","BEN","Benin","Export",6,804.478,19.145,2274.214,501.178,822.832,
"H5","AGO"," Total","Angola","BEN","Benin","Import",5,523.405,168.264,72.62,158.752,846.832,
"H5","AGO"," Total","Angola","BFA","Burkina Faso","Export",6,27.223,23.092,584.655,0.708,1117.409,
"H5","AGO"," Total","Angola","BFA","Burkina Faso","Import",5,10.94,6.755,0.567,37.178,769.476,
"H5","AGO"," Total","Angola","BGD","Bangladesh","Export",6,55.22,1.906,,42197.1,6.384,
"H5","AGO"," Total","Angola","BGD","Bangladesh","Import",5,1155.665,1173.385,745.618,699.981,1385.032,
"H5","AGO"," Total","Angola","BGR","Bulgaria","Export",6,8.435,0.095,32.204,2.961,,
"H5","AGO"," Total","Angola","BGR","Bulgaria","Import",5,2820.787,13526.925,1389.173,2549.051,1825.849,
"H5","AGO"," Total","Angola","BHR","Bahrain","Export",6,1.958,32.457,,41.58,7.347,
"H5","AGO"," Total","Angola","BHR","Bahrain","Import",5,975.535,2894.626,243.26,500.453,1786.938,
"H5","AGO"," Total","Angola","BHS","Bahamas, The","Export",6,154.221,8.412,9.513,12.851,43.331,
"H5","AGO"," Total","Angola","BHS","Bahamas, The","Import",5,81533.435,42.376,21700.966,0.383,54.317,
"H5","AGO"," Total","Angola","BIH","Bosnia and Herzegovina","Export",6,,8.154,,,0,
"H5","AGO"," Total","Angola","BIH","Bosnia and Herzegovina","Import",5,564.123,118.184,118.874,564.261,149.233,
"H5","AGO"," Total","Angola","BLR","Belarus","Export",6,54.31,,,,623.098,
"H5","AGO"," Total","Angola","BLR","Belarus","Import",5,77325.155,34861.65,4945.665,2299.202,46620.55,
"H5","AGO"," Total","Angola","BLZ","Belize","Export",6,,,0,,0.525,
"H5","AGO"," Total","Angola","BLZ","Belize","Import",5,895.71,40.48,19.291,258.789,2.539,
"H5","AGO"," Total","Angola","BMU","Bermuda","Export",6,,,0,,0,
"H5","AGO"," Total","Angola","BMU","Bermuda","Import",5,,24.511,18099.167,692.821,7162.558,
"H5","AGO"," Total","Angola","BOL","Bolivia","Export",6,308.752,45.092,14.752,66.528,,
"H5","AGO"," Total","Angola","BOL","Bolivia","Import",5,112.931,183.598,241.315,921.209,1188.273,
"H5","AGO"," Total","Angola","BRA","Brazil","Export",6,141486.749,178841.327,98877.576,166412.197,655848.824,
"H5","AGO"," Total","Angola","BRA","Brazil","Import",5,760955.756,564049.676,527720.176,545992.258,724095.572,
"H5","AGO"," Total","Angola","BRB","Barbados","Export",6,,,,,1.138,
"H5","AGO"," Total","Angola","BRB","Barbados","Import",5,0.522,,11.994,,,
"H5","AGO"," Total","Angola","BRN","Brunei","Export",6,,21.267,35.032,9.308,4.973,
"H5","AGO"," Total","Angola","BRN","Brunei","Import",5,,4.644,11.677,2.587,32.543,
"H5","AGO"," Total","Angola","BTN","Bhutan","Import",5,17.553,114.753,0.003,39.678,74.648,
"H5","AGO"," Total","Angola","BWA","Botswana","Export",6,16.917,6474.891,,7.957,271.497,
"H5","AGO"," Total","Angola","BWA","Botswana","Import",5,1269.349,380.593,186.909,427.986,2434.073,
"H5","AGO"," Total","Angola","CAF","Central African Republic","Export",6,1.439,417.317,48.72,,,
"H5","AGO"," Total","Angola","CAF","Central African Republic","Import",5,0.009,0.988,,0.08,1.131,
